Id,WnvPresent
1,0.015598635465494825
2,0.0064880797701647045
3,0.02306989687671135
4,0.00012203862349788861
5,0.00012203862349788861
6,0.00012203862349788861
7,0.00012203862349788861
8,0.00012203862349788861
9,0.012431028907301545
10,0.005160849625060957
11,0.018413484603831243
12,9.69467907872974e-05
13,9.69467907872974e-05
14,9.69467907872974e-05
15,9.69467907872974e-05
16,9.69467907872974e-05
17,0.016450599113856535
18,0.00684590511296984
19,0.024319843314631006
20,0.00012881472075773506
21,0.00012881472075773506
22,0.00012881472075773506
23,0.00012881472075773506
24,0.00012881472075773506
25,0.010138511397759233
26,0.004203384403495822
27,0.015034484807301076
28,7.888626734980232e-05
29,7.888626734980232e-05
30,7.888626734980232e-05
31,7.888626734980232e-05
32,7.888626734980232e-05
33,0.01036672448560422
34,0.0042985807538136606
35,0.015371192588017543
36,8.068041603228591e-05
37,8.068041603228591e-05
38,8.068041603228591e-05
39,8.068041603228591e-05
40,8.068041603228591e-05
41,0.01096038031094409
42,0.004546337578648984
43,0.016246727044212306
44,8.535142335086239e-05
45,8.535142335086239e-05
46,8.535142335086239e-05
47,8.535142335086239e-05
48,8.535142335086239e-05
49,0.01027248658299147
50,0.004259267428980519
51,0.015232162168878027
52,7.993944398940753e-05
53,7.993944398940753e-05
54,7.993944398940753e-05
55,7.993944398940753e-05
56,7.993944398940753e-05
57,0.01144555959534344
58,0.004748952002184954
59,0.016961901950999794
60,8.917304838676756e-05
61,8.917304838676756e-05
62,8.917304838676756e-05
63,8.917304838676756e-05
64,8.917304838676756e-05
65,0.008775939871568982
66,0.003635538342610543
67,0.013022572482218784
68,6.819116189010851e-05
69,6.819116189010851e-05
70,6.819116189010851e-05
71,6.819116189010851e-05
72,6.819116189010851e-05
73,0.018330860444462485
74,0.0076368984769651805
75,0.027074779800658276
76,0.0001438106848770272
77,0.0001438106848770272
78,0.0001438106848770272
79,0.0001438106848770272
80,0.0001438106848770272
81,0.010840817321638468
82,0.004496425063162434
83,0.016070434133355124
84,8.441022954292381e-05
85,8.441022954292381e-05
86,8.441022954292381e-05
87,8.441022954292381e-05
88,8.441022954292381e-05
89,0.016248673838543396
90,0.006761063631137771
91,0.024023685167326787
92,0.00012720765413597713
93,0.00012720765413597713
94,0.00012720765413597713
95,0.00012720765413597713
96,0.00012720765413597713
97,0.01660446217097663
98,0.006910566295266216
99,0.024545470905813094
100,0.00013003971323574258
101,0.00013003971323574258
102,0.00013003971323574258
103,0.00013003971323574258
104,0.00013003971323574258
105,0.008666037223063723
106,0.0035897767175607762
107,0.012860178478416067
108,6.732978466929721e-05
109,6.732978466929721e-05
110,6.732978466929721e-05
111,6.732978466929721e-05
112,6.732978466929721e-05
113,0.01373438625037924
114,0.005706354208514428
